student_id,final_grade
22002,distinction
22003,fail
22005,pass
22009,merit
22012,pass
22013,distinction
22023,distinction
22026,pass
22034,merit
22037,merit
22038,merit
22039,merit
22044,merit
22048,merit
22049,merit
22050,merit
22051,distinction
22053,merit
22055,merit
22059,merit
22063,merit
22068,distinction
22074,distinction
22079,merit
22081,pass
22082,merit
22085,distinction
22088,pass
22092,pass
22096,pass
22097,fail
22103,merit
22106,merit
22112,pass
22113,pass
22116,merit
22121,pass
22123,fail
22124,distinction
22125,fail
22127,merit
22128,merit
22129,merit
22139,pass
22143,pass
22144,pass
22147,merit
22148,distinction
22149,merit
22150,merit
22151,merit
22155,pass
22161,pass
22162,pass
22164,distinction
22166,pass
22168,pass
22171,distinction
22178,pass
22182,pass
22184,merit
22188,distinction
22193,fail
22195,pass
22197,distinction
22198,fail
22200,distinction
22202,distinction
22208,merit
22209,pass
22213,merit
22214,pass
22215,merit
22216,merit
22217,merit
22221,distinction
22224,pass
22228,pass
22233,merit
22235,pass
22237,distinction
22242,pass
22245,distinction
22253,fail
22254,fail
22257,merit
22258,merit
22260,merit
22266,merit
22269,pass
22275,merit
22277,merit
22281,pass
22282,merit
22296,merit
22301,merit
22305,fail
22307,pass
22308,fail
22311,merit
22316,merit
22317,merit
22327,fail
22331,distinction
22334,fail
22341,distinction
22343,fail
22346,merit
22351,pass
22355,distinction
22358,merit
22360,merit
22361,merit
22365,pass
22371,pass
22378,fail
22384,distinction
22389,distinction
22391,merit
22396,distinction
22399,pass
22402,distinction
22405,fail
22410,distinction
22411,merit
22412,merit
22419,merit
22422,pass
22427,merit
22436,pass
22443,distinction
22444,distinction
22447,distinction
22454,pass
22455,distinction
22457,pass
22458,pass
22461,pass
22465,pass
22466,merit
22468,merit
22469,fail
22470,pass
22472,pass
22485,pass
22486,merit
22488,pass
22495,merit
22505,merit
22516,distinction
22519,pass
22525,pass
22536,distinction
22537,distinction
22540,pass
22545,pass
22553,distinction
22555,merit
22558,pass
22562,pass
22567,fail
22568,pass
22571,pass
22579,merit
22581,distinction
22590,merit
22592,merit
22593,distinction
22596,merit
22598,merit
22599,merit
22604,merit
22609,fail
22612,merit
22615,pass
22617,pass
22621,pass
22623,merit
22630,distinction
22632,distinction
22633,distinction
22636,distinction
22638,merit
22640,merit
22641,distinction
22648,fail
22653,merit
22656,merit
22658,merit
22659,pass
22663,pass
22664,pass
22666,pass
22667,merit
22669,fail
22674,distinction
22675,merit
22681,pass
22689,merit
22692,merit
22694,merit
22698,pass
22704,distinction
22706,pass
22709,pass
22710,merit
22712,merit
22713,merit
22717,pass
22720,merit
22722,merit
22723,fail
22727,merit
22730,merit
22731,merit
22734,merit
22735,pass
22737,merit
22738,merit
22742,merit
22744,pass
22745,distinction
22749,pass
22750,merit
22754,pass
22756,distinction
22766,merit
22771,merit
22773,distinction
22775,fail
22777,merit
22779,merit
22785,distinction
22786,merit
22789,fail
22792,pass
22793,merit
22800,fail
22808,fail
22811,pass
22817,pass
22818,pass
22819,pass
22820,pass
22821,merit
22823,merit
22824,fail
22827,distinction
22830,fail
22833,merit
22836,distinction
22837,pass
22838,merit
22839,merit
22841,merit
22843,pass
22854,pass
22859,fail
22861,merit
22862,merit
22864,fail
22865,distinction
22867,distinction
22870,merit
22871,merit
22874,merit
22877,distinction
22884,merit
22887,distinction
22889,merit
22895,fail
22901,merit
22906,merit
22907,distinction
22911,pass
22913,pass
22914,distinction
22916,pass
22921,merit
22922,merit
22923,distinction
22932,distinction
22935,pass
22941,pass
22946,pass
22948,pass
22949,distinction
22953,merit
22955,merit
22957,pass
22961,merit
22964,merit
22969,pass
22974,distinction
22981,merit
22987,fail
22988,pass
22992,merit
22994,merit
22997,distinction
